"id";"name";"d1";"d2";"d3";"d4"
1667;"Colliers International Group Inc. (CIGI)";"49313";"67965";"23347";"43316"
1668;"South State Corporation (SSB)";"87554";"101282";"99473";"75437"
1669;"Supernus Pharmaceuticals, Inc. (SUPN)";"57284";"91221";"13944";"-10925"
1670;"Prospect Capital Corporation (PSEC)";"299863";"252906";"103362";"346339"
1671;"Medifast, Inc. (MED)";"27721";"17835";"20058";"13181"
1672;"Quidel Corporation (QDEL)";"-8165";"-13808";"-6079";"-7074"
1673;"Liberty Expedia Holdings, Inc. (LEXEA)";"-192000";"2292000";"281000";"45000"
1674;"NextEra Energy Partners, LP (NEP)";"-62000";"82000";"10000";"31000"
1675;"Repligen Corporation (RGEN)";"28353";"11681";"9345";"8170"
1676;"Bloom Energy Corporation (BE)";"-262599";"-279658";"-341003";"-217616"
1677;"Pampa Energía S.A. (PAM)";"4606000";"-11000";"3065000";"743000"
1678;"InterDigital, Inc. (IDCC)";"174293";"309001";"119225";"104342"
1679;"Simmons First National Corporation (SFNC)";"92940";"96814";"74364";"35688"
1680;"RH (RH)";"2180";"5401";"91103";"91002"
1681;"AMN Healthcare Services, Inc. (AMN)";"132558";"105838";"81891";"33217"
1682;"Tempur Sealy International, Inc. (TPX)";"151400";"190600";"64500";"108900"
1683;"Ultragenyx Pharmaceutical Inc. (RARE)";"-302139";"-245874";"-145618";"-59802"
1684;"Cogent Communications Holdings, Inc. (CCOI)";"5876";"14929";"4896";"797"
1685;"EnLink Midstream, LLC (ENLC)";"212800";"-460000";"-355200";"124000"
1686;"LendingTree, Inc. (TREE)";"15578";"27494";"48047";"9362"
1687;"McDermott International, Inc. (MDR)";"178546";"34117";"-17983";"-75994"
1688;"Liberty Expedia Holdings, Inc. (LEXEB)";"-192000";"2292000";"281000";"45000"
1689;"Floor & Decor Holdings, Inc. (FND)";"102788";"43039";"26807";"15098"
1690;"TEGNA Inc. (TGNA)";"273744";"436697";"459522";"1062171"
1691;"Integer Holdings Corporation (ITGR)";"66679";"5961";"-7594";"55458"
1692;"Genomic Health, Inc. (GHDX)";"-3857";"-13919";"-33308";"-24592"
1693;"Urban Edge Properties (UE)";"67070";"90815";"38785";"65772"
1694;"Quaker Chemical Corporation (KWR)";"20278";"61403";"51180";"56492"
1695;"El Paso Electric Company (EE)";"98261";"96768";"81918";"91428"
1696;"Triton International Limited (TRTN)";"344598";"-13517";"111089";"149467"
1697;"Piedmont Office Realty Trust, Inc. (PDM)";"133564";"99732";"131304";"42150"
1698;"Legg Mason, Inc. (LM)";"285075";"227256";"-25032";"237080"
1699;"ProAssurance Corporation (PRA)";"107264";"151081";"116197";"196565"
1700;"Watts Water Technologies, Inc. (WTS)";"73100";"84200";"-112900";"50300"
1701;"Worthington Industries, Inc. (WOR)";"194794";"204515";"143715";"76785"
1702;"First Midwest Bancorp, Inc. (FMBI)";"98387";"92349";"82064";"69306"
1703;"Acadia Realty Trust (AKR)";"61470";"72776";"65708";"71064"
1704;"Washington Federal, Inc. (WAFD)";"173532";"164049";"160316";"157364"
1705;"Envestnet, Inc. (ENV)";"-3280";"-55567";"4436";"14174"
1706;"Sanderson Farms, Inc. (SAFM)";"279745";"188961";"216001";"249048"
1707;"PotlatchDeltic Corporation (PCH)";"86453";"10938";"31714";"89910"
1708;"Acceleron Pharma Inc. (XLRN)";"-108454";"-57014";"-63894";"-51259"
1709;"Cal-Maine Foods, Inc. (CALM)";"125932";"-74278";"316041";"161254"
1710;"Amneal Pharmaceuticals, Inc. (AMRX)";"167648";"207378";"169451";"176928"
1711;"Meredith Corporation (MDP)";"99400";"188900";"33900";"136791"
1712;"Pebblebrook Hotel Trust (PEB)";"99888";"73704";"94668";"72866"
1713;"Belden Inc. (BDC)";"93210";"128003";"66204";"74449"
1714;"II-VI Incorporated (IIVI)";"88002";"95274";"65486";"65975"
1715;"WD-40 Company (WDFC)";"65215";"52930";"52628";"44807"
1716;"WESCO International, Inc. (WCC)";"163460";"101588";"210687";"275906"
1717;"Plantronics, Inc. (PLT)";"-869";"82599";"68392";"112301"
1718;"Trinseo S.A. (TSE)";"328300";"318300";"133600";"-67332"
1719;"BrightSphere Investment Group plc (BSA)";"4200";"126400";"155500";"51700"
1720;"Premier, Inc. (PINC)";"33301";"113425";"41614";"38743"
1721;"Pan American Silver Corp. (PAAS)";"120991";"100085";"-226650";"-545588"
1722;"Washington Real Estate Investment Trust (WRE)";"19668";"119339";"89740";"111639"
1723;"Xenia Hotels & Resorts, Inc. (XHR)";"98862";"85855";"88758";"109799"
1724;"SITE Centers Corp. (SITC)";"-241685";"60012";"-72168";"117282"
1725;"American States Water Company (AWR)";"69367";"59743";"60484";"61058"
1726;"Terex Corporation (TEX)";"128700";"-176100";"145900";"319000"
1727;"Realogy Holdings Corp. (RLGY)";"431000";"213000";"184000";"143000"
1728;"Nelnet, Inc. (NNI)";"173166";"256751";"267979";"307610"
1729;"Ellie Mae, Inc. (ELLI)";"52850";"37776";"22258";"14823"
1730;"BBVA Banco Francés S.A. (BFR)";"3878265";"3643672";"3784487";"3204496"
1731;"Marriott Vacations Worldwide Corporation (VAC)";"226778";"137348";"122799";"80756"
1732;"The Descartes Systems Group Inc (DSGX)";"26879";"23838";"20562";"15059"
1733;"Industrias Bachoco, S.A.B. de C.V. (IBA)";"4948242";"3946634";"3812840";"3926926"
1734;"Enerplus Corporation (ERF)";"236998";"397416";"-1523403";"299076"
1735;"Werner Enterprises, Inc. (WERN)";"202889";"79129";"123714";"98650"
1736;"Select Medical Holdings Corporation (SEM)";"177184";"115411";"130736";"120627"
1737;"American Financial Group, Inc. (AFGE)";"475000";"649000";"352000";"452000"
1738;"Convergys Corporation (CVG)";"121400";"143000";"169000";"120000"
1739;"Sunoco LP (SUN)";"149000";"-406000";"87000";"57000"
1740;"Avis Budget Group, Inc. (CAR)";"361000";"163000";"313000";"245000"
1741;"Box, Inc. (BOX)";"-154960";"-151787";"-202948";"-168227"
1742;"DDR Corp. (DDR)";"-241685";"60012";"-72168";"117282"
1743;"Rogers Corporation (ROG)";"80459";"48283";"46320";"53412"
1744;"Union Bankshares Corporation (UBSH)";"72923";"77476";"67079";"52164"
1745;"Sea Limited (SE)";"-560485";"-222867";"-103366";"-88383"
1746;"NuStar Energy L.P. (NS)";"101058";"104505";"258230";"164201"
1747;"Main Street Capital Corporation (MAIN)";"170622";"138899";"104437";"100748"
1748;"The Cheesecake Factory Incorporated (CAKE)";"157392";"139494";"116523";"101276"
1749;"Telecom Argentina S.A. (TEO)";"5814752.604";"4045337.263";"2473366.772";"1287185.928"
1750;"Halozyme Therapeutics, Inc. (HALO)";"62971";"-103023";"-32231";"-68375"
1751;"Cirrus Logic, Inc. (CRUS)";"161995";"261209";"123630";"55178"
1752;"Sogou Inc. (SOGO)";"82200";"56112";"99499";"-26839"
1753;"Callon Petroleum Company (CPE)";"120424";"-91813";"-240139";"37766"
1754;"TC PipeLines, LP (TCP)";"236000";"237000";"34000";"168000"
1755;"Aerie Pharmaceuticals, Inc. (AERI)";"-145105";"-99059";"-74363";"-48133"
1756;"Anixter International Inc. (AXE)";"109000";"120500";"127600";"194800"
1757;"ManTech International Corporation (MANT)";"114141";"56391";"51127";"47294"
1758;"WesBanco, Inc. (WSBC)";"94482";"86635";"80762";"69974"
1759;"SeaWorld Entertainment, Inc. (SEAS)";"-202386";"-12531";"49133";"49919"
1760;"Q2 Holdings, Inc. (QTWO)";"-26164";"-36354";"-25063";"-19634"
1761;"Allscripts Healthcare Solutions, Inc. (MDRX)";"-196459";"-25652";"-2226";"-66453"
1762;"Patterson Companies, Inc. (PDCO)";"200974";"170893";"187184";"223261"
1763;"Granite Construction Incorporated (GVA)";"69098";"57122";"60485";"25346"
1764;"Axos Financial, Inc. (BOFI)";"152411";"134740";"119291";"82682"
1765;"Lithia Motors, Inc. (LAD)";"245217";"197058";"182999";"138720"
1766;"DiamondRock Hospitality Company (DRH)";"91877";"114796";"85630";"163377"
1767;"Visteon Corporation (VC)";"176000";"75000";"2284000";"-295000"
1768;"H.B. Fuller Company (FUL)";"58242";"124128";"86680";"49773"
1769;"Mallinckrodt Public Limited Company (MNK)";"2134400";"279400";"643700";"324700"
1770;"Norbord Inc. (OSB)";"436000";"183000";"-56000";"-39000"
1771;"Independent Bank Corp. (INDB)";"87204";"76648";"64960";"59845"
1772;"Albany International Corp. (AIN)";"33111";"52733";"57279";"41569"
1773;"Heron Therapeutics, Inc. (HRTX)";"-197484";"-173143";"-97591";"-76367"
1774;"iRobot Corporation (IRBT)";"50964";"41939";"44130";"37803"
1775;"Yamana Gold Inc. (AUY)";"-194400";"-307900";"-2114800";"-1383100"
1776;"Tanger Factory Outlet Centers, Inc. (SKT)";"68002";"193744";"211200";"74011"
1777;"Genworth Financial, Inc. (GNW)";"817000";"-277000";"-615000";"-1244000"
1778;"Pandora Media, Inc. (P)";"-518395";"-342978";"-169661";"-30406"
1779;"Gold Fields Limited (GFI)";"-18700";"158200";"-247300";"12800"
1780;"DSW Inc. (DSW)";"67304";"124535";"136034";"153299"
1781;"Five9, Inc. (FIVN)";"-8969";"-11860";"-25838";"-37786"
1782;"Amicus Therapeutics, Inc. (FOLD)";"-284002";"-200042";"-132118";"-68926"
1783;"Sally Beauty Holdings, Inc. (SBH)";"215076";"222942";"235087";"245993"
1784;"PriceSmart, Inc. (PSMT)";"90724";"88723";"89124";"92886"
1785;"Dycom Industries, Inc. (DY)";"137670";"157217";"128740";"84324"
1786;"ExlService Holdings, Inc. (EXLS)";"48888";"61733";"51565";"32445"
1787;"The Bank of N.T. Butterfield & Son Limited (NTB)";"153252";"115942";"77739";"108159"
1788;"Sotheby's (BID)";"118796";"74112";"43727";"117795"
1789;"Aerojet Rocketdyne Holdings, Inc. (AJRD)";"-9200";"18000";"84000";"-16200"
1790;"GCI Liberty, Inc. (GLIBP)";"1233000";"762000";"229000";"17000"
1791;"MB Financial, Inc. (MBFIO)";"304040";"174136";"158948";"86101"
1792;"First Merchants Corporation (FRME)";"96070";"81051";"65384";"60162"
1793;"Commercial Metals Company (CMC)";"46332";"54762";"79443";"113243"
1794;"Jack in the Box Inc. (JACK)";"135332";"124073";"108812";"88950"
1795;"Great Western Bancorp, Inc. (GWB)";"144786";"121253";"109065";"104952"
1796;"Deluxe Corporation (DLX)";"230155";"229382";"218629";"199794"
1797;"Argo Group International Holdings, Ltd. (ARGO)";"50300";"146700";"163200";"183200"
1798;"Dana Incorporated (DAN)";"111000";"640000";"159000";"319000"
1799;"BEST Inc. (BSTI)";"-1227893";"-1363480";"-1059443";"-718461"
1800;"World Fuel Services Corporation (INT)";"-170200";"126500";"174500";"224500"
1801;"Noah Holdings Limited (NOAH)";"762923";"643829";"535825";"446552.851"
1802;"Brooks Automation, Inc. (BRKS)";"62612";"-69476";"14221";"31361"
1803;"Penn National Gaming, Inc. (PENN)";"473463";"109310";"686";"-183822"
1804;"Brady Corporation (BRC)";"91060";"95645";"80110";"2987"
1805;"The Navigators Group, Inc. (NAVG)";"40494";"82726";"81057";"95329"
1806;"AeroVironment, Inc. (AVAV)";"20068";"12479";"8966";"2895"
1807;"Renasant Corporation (RNST)";"92188";"90930";"68014";"59582"
1808;"Mercury Systems, Inc. (MRCY)";"40883";"24875";"19742";"10369"
1809;"Clear Channel Outdoor Holdings, Inc. (CCO)";"-639716";"141397";"-95981";"-9590"
1810;"Trustmark Corporation (TRMK)";"105630";"108411";"116038";"123562"
1811;"California Water Service Group (CWT)";"67181";"48675";"45017";"56738"
1812;"PQ Group Holdings Inc. (PQG)";"57603";"-79746";"11427";"8484"
1813;"Chart Industries, Inc. (GTLS)";"28000";"28200";"-203000";"81864"
1814;"Hercules Capital, Inc. (HCXZ)";"78998";"68703";"42916";"71188"
1815;"Cott Corporation (COT)";"-1400";"-77800";"14500";"10800"
1816;"TowneBank (TOWN)";"87663";"67250";"62382";"42169"
1817;"CenterState Bank Corporation (CSFL)";"55795";"42341";"39338";"12964"
1818;"Retail Opportunity Investments Corp. (ROIC)";"38477";"32754";"23864";"20301"
1819;"Yangtze River Port and Logistics Limited (YRIV)";"-12249.377";"-12726.08";"-6381.862";"-4257.096"
1820;"Euronav NV (EURN)";"1383";"204049";"350301";"-45797"
1821;"Ameris Bancorp (ABCB)";"73548";"72100";"40847";"38723"
1822;"Carpenter Technology Corporation (CRS)";"188500";"47000";"11300";"58700"
1823;"Clearway Energy, Inc. (CWEN)";"-16000";"57000";"33000";"16000"
1824;"Baozun Inc. (BZUN)";"208866";"86633";"22621";"-59814"
1825;"QEP Resources, Inc. (QEP)";"269300";"-1245000";"-149400";"784400"
1826;"ABM Industries Incorporated (ABM)";"3800";"57200";"76300";"75600"
1827;"Callaway Golf Company (ELY)";"40806";"189900";"14568";"16008"
1828;"Delphi Technologies PLC (DLPH)";"285000";"236000";"272000";"306000"
1829;"Cosan Limited (CZZ)";"551021";"277804";"405718";"160388"
1830;"Iridium Communications Inc. (IRDM)";"233856";"111032";"7123";"74989"
1831;"Tootsie Roll Industries, Inc. (TR)";"80864";"67510";"66089";"63298"
1832;"Agree Realty Corporation (ADC)";"58112";"45118";"39018";"18488"
1833;"Itron, Inc. (ITRI)";"57298";"31770";"12678";"-23670"
1834;"Glaukos Corporation (GKOS)";"-92";"4522";"-37241";"-12126"
1835;"Shutterfly, Inc. (SFLY)";"30085";"15906";"-843";"-7860"
1836;"Rowan Companies plc (RDC)";"72700";"320600";"93300";"-114900"
1837;"United Community Banks, Inc. (UCBI)";"67821";"100656";"71578";"67620"
1838;"Atlantica Yield plc (AY)";"-111804";"-4855";"-209005";"-3379"
1839;"Novanta Inc. (NOVT)";"60051";"22003";"35615";"-24252"
1840;"NetScout Systems, Inc. (NTCT)";"79812";"33291";"-28369";"61192"
1841;"First BanCorp. (FBP)";"66956";"93229";"21297";"392287"
1842;"QTS Realty Trust, Inc. (QTS)";"1282";"21525";"20326";"15072"
1843;"Franklin Electric Co., Inc. (FELE)";"78180";"78745";"72945";"69806"
1844;"Imperva, Inc. (IMPV)";"22869";"-70279";"-48882";"-58963"
1845;"Comfort Systems USA, Inc. (FIX)";"55272";"64896";"49364";"23063"
1846;"Diamond Offshore Drilling, Inc. (DO)";"18346";"-372503";"-274285";"387011"
1847;"Pacira Pharmaceuticals, Inc. (PCRX)";"-42611";"-37949";"1856";"-13716"
1848;"CGG (CGG)";"-514900";"-573400";"-1450200";"-1154400"
1849;"CONMED Corporation (CNMD)";"55487";"14664";"30498";"32192"
1850;"Northwest Natural Holding Company (NWN)";"-55623";"58895";"53703";"58692"
1851;"Pinnacle Entertainment, Inc. (PNK)";"63104";"-457410";"48887";"43843"
1852;"The Ensign Group, Inc. (ENSG)";"40475";"49990";"55432";"35950"
1853;"Vector Group Ltd. (VGR)";"84572";"71127";"59198";"36856"
1854;"Minerals Technologies Inc. (MTX)";"195100";"133400";"107900";"92400"
1855;"Fox Factory Holding Corp. (FOXF)";"43128";"35675";"24954";"27686"
1856;"Steelcase Inc. (SCS)";"80700";"124600";"170300";"86100"
1857;"Covanta Holding Corporation (CVA)";"57000";"-4000";"68000";"-2000"
1858;"OPKO Health, Inc. (OPK)";"-308870";"-25083";"-30028";"-171666"
1859;"Harsco Corporation (HSC)";"7822";"-85667";"6188";"-22171"
1860;"Grupo Aeroportuario del Centro Norte, S. A. B. de C. V. (OMAB)";"2127576";"1870187";"1233772";"1024694"
1861;"Lexington Realty Trust (LXP)";"85583";"95624";"111703";"93104"
1862;"Nuveen Municipal Credit Income Fund (NZF)";"84179.706";"85961.54";"25502.818";"86978.847"
1863;"Tellurian Inc. (TELL)";"-231459";"-97293";"105";"631"
1864;"Banner Corporation (BANR)";"60776";"85385";"45222";"54070"
1865;"Bed Bath & Beyond Inc. (BBBY)";"424858";"685108";"841489";"957474"
1866;"Herman Miller, Inc. (MLHR)";"128100";"123900";"136700";"97500"
1867;"Hudson Ltd. (HUD)";"-40400";"23500";"-7700";"7100"
1868;"Finisar Corporation (FNSR)";"-48286";"249346";"35193";"11887"
1869;"Stepan Company (SCL)";"91578";"86191";"75968";"57101"
1870;"Ares Management, L.P. (ARES)";"76178";"111808";"19378";"34988"
1871;"BancFirst Corporation (BANF)";"86439";"70674";"66170";"63887"
1872;"Allegiant Travel Company (ALGT)";"194902";"219590";"220374";"86689"
1873;"Heartland Financial USA, Inc. (HTLF)";"75272";"80349";"60042";"41900"
1874;"Xencor, Inc. (XNCR)";"-48925";"23625";"-17592";"-16422"
1875;"Cision Ltd. (CISN)";"-123042";"-98412";"-90544";"-115775.99"
1876;"Hilltop Holdings Inc. (HTH)";"132544";"145894";"210973";"111650"
1877;"Prestige Consumer Healthcare Inc. (PBH)";"339570";"69395";"99907";"78260"
1878;"Nxstage Medical, Inc. (NXTM)";"-13992";"-4771";"-15342";"-23946"
1879;"Plexus Corp. (PLXS)";"112062";"76427";"94332";"87213"
1880;"LegacyTexas Financial Group, Inc. (LTXB)";"89494";"97821";"70916";"31278"
1881;"Travelport Worldwide Limited (TVPT)";"142463";"16820";"16332";"86494"
1882;"GTT Communications, Inc. (GTT)";"-71500";"5300";"19300";"-22979"
1883;"Cohen & Steers Infrastructure Fund, Inc (UTF)";"452194.823";"154751.163";"-169801.94";"329473.421"
1884;"Kayne Anderson MLP/Midstream Investment Company (KYN)";"-159125";"253580";"-1653102";"522979"
1885;"Otter Tail Corporation (OTTR)";"72439";"62321";"59345";"57723"
1886;"G-III Apparel Group, Ltd. (GIII)";"62124";"51938";"114333";"110361"
1887;"Dominion Energy Midstream Partners, LP (DM)";"180900";"104100";"73000";"9500"
1888;"Inter Parfums, Inc. (IPAR)";"41594";"33331";"30437";"29436"
1889;"Hope Bancorp, Inc. (HOPE)";"139445";"113747";"92258";"88615"
1890;"Mack-Cali Realty Corporation (CLI)";"23185";"117224";"-125752";"28567"
1891;"Scorpio Bulkers Inc. 7.5% SR NT 19 (SLTB)";"-59726";"-124835";"-510789";"-116565"
1892;"Shake Shack Inc. (SHAK)";"-320";"12446";"-8776";"2118"
1893;"GCP Applied Technologies Inc. (GCP)";"553400";"72800";"40100";"134300"
1894;"Yext, Inc. (YEXT)";"-66565";"-43150";"-26495";"-17273"
1895;"Avaya Holdings Corp. (AVYA)";"-182000";"-730000";"-168000";"-253000"
1896;"Cadence Bancorporation (CADE)";"102353";"65774";"39256";"44833"
1897;"Golar LNG Partners LP 8.75% CUM PFD A (GMLPP)";"129280";"172171";"162136";"174154"
1898;"MSG Networks Inc. (MSGN)";"288862";"167342";"7634";"254701"
1899;"Tupperware Brands Corporation (TUP)";"-265400";"223600";"185800";"214400"
1900;"FCB Financial Holdings, Inc. (FCB)";"125194";"99916";"53391";"22372"
1901;"3D Systems Corporation (DDD)";"-66191";"-38419";"-655492";"11637"
1902;"American Assets Trust, Inc. (AAT)";"29077";"32585";"38509";"21756"
1903;"Pacific Premier Bancorp, Inc. (PPBI)";"60100";"40103";"25515";"16616"
1904;"Tandem Diabetes Care, Inc. (TNDM)";"-73033";"-83447";"-72418";"-79524"
1905;"Brinker International, Inc. (EAT)";"125882";"150823";"200620";"194659"
1906;"Axos Financial, Inc. (AX)";"152411";"134740";"119291";"82682"
1907;"Core-Mark Holding Company, Inc. (CORE)";"33500";"54200";"51500";"42700"
1908;"The Medicines Company (MDCO)";"-708373";"-119118";"-352756";"-32210"
1909;"Varonis Systems, Inc. (VRNS)";"-13694";"-17710";"-21283";"-19398"
1910;"Mobile Mini, Inc. (MINI)";"122228";"47248";"5574";"44386"
1911;"Cavco Industries, Inc. (CVCO)";"61502";"37955";"28541";"23817"
1912;"Cambrex Corporation (CBM)";"102450";"81678";"57217";"57303"
1913;"Calamos Strategic Total Return Fund (CSQ)";"405422.582";"69398.872";"23776.416";"242864.405"
1914;"Calavo Growers, Inc. (CVGW)";"37270";"38022";"27199";"97"
1915;"Flagstar Bancorp, Inc. (FBC)";"63000";"171000";"158000";"-69000"
1916;"Government Properties Income Trust (GOVNI)";"12090";"57843";"-209961";"56534"
1917;"Shenandoah Telecommunications Company (SHEN)";"66390";"-895";"40864";"33883"
1918;"B&G Foods, Inc. (BGS)";"217463";"109425";"69090";"40956"
1919;"Forward Air Corporation (FWRD)";"87321";"27670";"55575";"61169"
1920;"Select Income REIT (SIR)";"66906";"116321";"74748";"105895"
1921;"Arch Coal, Inc. (ARCH)";"238450";"1275530";"-2913142";"-558353"
1922;"Groupon, Inc. (GRPN)";"14040";"-194587";"20668";"-73090"
1923;"Cars.com Inc. (CARS)";"224443";"176370";"157838";"591596"
1924;"Oceaneering International, Inc. (OII)";"166398";"24586";"231011";"428329"
1925;"Belmond Ltd. (BEL)";"-45035";"36324";"16265";"-1880"
1926;"Nabors Industries Ltd. (NBR)";"-546811";"-1029742";"-372675";"-670659"
1927;"Cubic Corporation (CUB)";"-11209";"1735";"22885";"69491"
1928;"Chesapeake Lodging Trust (CHSP)";"76235";"76706";"67508";"60954"
1929;"Phibro Animal Health Corporation (PAHC)";"64883";"64615";"82728";"60280"
1930;"Advanced Energy Industries, Inc. (AEIS)";"137861";"127454";"-158486";"46982"
1931;"Independent Bank Group, Inc. (IBTX)";"76512";"53540";"38786";"28978"
1932;"Tenneco Inc. (TEN)";"207000";"356000";"241000";"225000"
1933;"Kaman Corporation (KAMN)";"49826";"58854";"60438";"57872"
1934;"Capitol Federal Financial, Inc. (CFFN)";"84137";"83494";"78093";"77694"
1935;"Beacon Roofing Supply, Inc. (BECN)";"100864";"89917";"62277";"53846"
1936;"Huazhu Group Limited (HTHT)";"1237202";"804615";"436600";"307348"
1937;"Corporate Capital Trust, Inc. (CCT)";"174130";"243115";"-38207";"84317"
1938;"Guess', Inc. (GES)";"-7894";"22761";"81851";"94570"
1939;"Ebix, Inc. (EBIX)";"100618";"93847";"79533";"63558"
1940;"Pattern Energy Group Inc. (PEGI)";"-17905";"-17111";"-32533";"-31290"
1941;"AAON, Inc. (AAON)";"54498";"53376";"45728";"44158"
1942;"LTC Properties, Inc. (LTC)";"87340";"85115";"73081";"73399"
1943;"KB Home (KBH)";"180595";"105615";"84643";"918349"
1944;"Taylor Morrison Home Corporation (TMHC)";"91220";"52616";"61049";"71469"
1945;"Insight Enterprises, Inc. (NSIT)";"90683";"84690";"75851";"75684"
1946;"LCI Industries (LCII)";"132884";"129671";"74345";"62266"
1947;"Hawaiian Holdings, Inc. (HA)";"364041";"235432";"182646";"68926"
1948;"Reinsurance Group of America, Incorporated (RZA)";"1822181";"701443";"502166";"684047"
1949;"Arena Pharmaceuticals, Inc. (ARNA)";"-91407";"-22516";"-107979";"-60508"
1950;"Eagle Bancorp, Inc. (EGBN)";"100232";"97707";"84167";"54258"
1951;"Evolent Health, Inc. (EVH)";"-60665";"-159742";"332494";"-25246"
1952;"Scientific Games Corporation (SGMS)";"-242300";"-353700";"-1394300";"-234300"
1953;"Universal Corporation (UVV)";"105662";"106304";"109016";"114608"
1954;"PTC Therapeutics, Inc. (PTCT)";"-79000";"-142110";"-170447";"-93753"
1955;"Tesaro, Inc. (TSRO)";"-496126";"-374224";"-247749";"-171012"
1956;"Globant S.A. (GLOB)";"30539";"35876";"31653";"25201"
1957;"Universal Forest Products, Inc. (UFPI)";"119512";"101179";"80595";"57551"
1958;"NETGEAR, Inc. (NTGR)";"19436";"75851";"48584";"8788"
1959;"EVERTEC, Inc. (EVTC)";"55054";"75036";"85377";"66157"
1960;"Eaton Vance Tax-Managed Diversified Equity Income Fund (ETY)";"273875.801";"20835.469";"102226.032";"222120.871"
1961;"Northwest Bancshares, Inc. (NWBI)";"94467";"49667";"60540";"61962"
1962;"China Biologic Products Holdings, Inc. (CBPO)";"67943.035";"104779.307";"89042.703";"70916.84"
1963;"Invesco Mortgage Capital Inc. (IVR)";"348607";"254411";"112711";"-215058"
1964;"The Gabelli Dividend & Income Trust (GDV)";"363278.612";"232157.565";"-90327.925";"161595.969"
1965;"Four Corners Property Trust, Inc. (FCPT)";"71394";"156809";"5699";"32"
1966;"SRC Energy Inc. (SRCI)";"142482";"-219189";"-368796";"18042"
1967;"Provident Financial Services, Inc. (PFS)";"93949";"87802";"83722";"73631"
1968;"FBL Financial Group, Inc. (FFG)";"194327";"107223";"113527";"109941"
1969;"SPS Commerce, Inc. (SPSC)";"-2440";"5710";"4639";"2704"
1970;"Universal Insurance Holdings, Inc. (UVE)";"106935";"99410";"106484";"72988"
1971;"Alexander's, Inc. (ALX)";"80509";"86477";"76907";"67925"
1972;"Big Lots, Inc. (BIG)";"189832";"152828";"142873";"114276"
1973;"At Home Group Inc. (HOME)";"31812";"27066";"3574";"-436"
1974;"Fanhua Inc. (FANH)";"449228";"157047";"210086";"161760"
1975;"IAMGOLD Corporation (IAG)";"501600";"52600";"-755300";"-206800"
1976;"Waddell & Reed Financial, Inc. (WDR)";"141279";"156695";"237578";"313331"
1977;"HNI Corporation (HNI)";"89795";"85577";"105436";"61471"
1978;"Endocyte, Inc. (ECYT)";"-55064.15";"-43887.573";"-41269.749";"5459.477"
1979;"Brookdale Senior Living Inc. (BKD)";"-571419";"-404397";"-457477";"-148990"
1980;"Ladder Capital Corp (LADR)";"95276";"66727";"73821";"44187"
1981;"Central Garden & Pet Company (CENT)";"78828";"44514";"31971";"8804"
1982;"American Axle & Manufacturing Holdings, Inc. (AXL)";"337100";"240700";"235600";"143000"
1983;"GasLog Ltd. (GLOG)";"15506";"-21486";"10829";"42161"
1984;"BioTelemetry, Inc. (BEAT)";"-15956";"53437";"7428";"-9793"
1985;"International Speedway Corporation (ISCA)";"110823";"76338";"56634";"67379"
1986;"Moelis & Company (MC)";"29400";"38387";"33104";"-3012"
1987;"Mueller Water Products, Inc. (MWA)";"123300";"63900";"30900";"55500"
1988;"Alamos Gold Inc. (AGI)";"26600";"-17900";"-508900";"-169600"
1989;"Star Bulk Carriers Corp. 8.30% SR NT 22 (SBLKZ)";"-9771";"-154228";"-458177";"-11723"
1990;"SPX FLOW, Inc. (FLOW)";"46400";"-381800";"87500";"134500"
1991;"AAR Corp. (AIR)";"15600";"56500";"47700";"10200"
1992;"Reinsurance Group of America, Incorporated (RZB)";"1822181";"701443";"502166";"684047"
1993;"Cooper-Standard Holdings Inc. (CPS)";"135303";"138988";"111880";"42779"
1994;"Hub Group, Inc. (HUBG)";"135153";"74805";"70949";"51558"
1995;"Hailiang Education Group Inc. (HLG)";"222588";"167743";"99432";"140994"
1996;"JELD-WEN Holding, Inc. (JELD)";"10791";"377181";"90918";"-84109"
1997;"Eaton Vance Tax-Advantaged Dividend Income Fund (EVT)";"170642.692";"155125.047";"-20400.571";"347534.901"
1998;"Innospec Inc. (IOSP)";"61800";"81300";"119500";"84100"
1999;"STAAR Surgical Company (STAA)";"-2139";"-12129";"-6533";"-8392"
2000;"WageWorks, Inc. (WAGE)";"20205";"22950";"18242";"21699"
2001;"NBT Bancorp Inc. (NBTB)";"82151";"78409";"76425";"75074"
2002;"Coca-Cola Bottling Co. Consolidated (COKE)";"96535";"50146";"59002";"31354"
2003;"Maxar Technologies Ltd. (MAXR)";"100400";"105600";"142842";"47118"
2004;"Evoqua Water Technologies Corp. (AQUA)";"2163";"11639";"-86051";"-100059"
2005;"Kronos Worldwide, Inc. (KRO)";"354500";"43300";"-173600";"99200"
2006;"Fresh Del Monte Produce Inc. (FDP)";"120800";"225100";"62400";"142400"
2007;"Sanmina Corporation (SANM)";"138833";"187838";"377261";"197165"
2008;"ESCO Technologies Inc. (ESE)";"53703";"45882";"42512";"410"
2009;"Shutterstock, Inc. (SSTK)";"16727";"32628";"19552";"22089"
2010;"Westamerica Bancorporation (WABC)";"50025";"58853";"58753";"60646"
2011;"BlackRock Enhanced Equity Dividend Trust (BDJ)";"244440.761";"204044.2";"2341.151";"162677.964"
